time_s,stress_MPa,ox_red,NsChanges,x_Q_Qo__mA_h,Ewe_V,halfCycle,x_I__mA,cycleNumber
363710,-0.434769915336974,0,0,-11.8299685041894,0.066475086,10,-0.399027269311751,5
363720,-0.468608729464513,0,0,-11.8310768706483,0.066398747,10,-0.399011874692668,5
363730,-0.474971834692348,0,0,-11.8321852557162,0.06630332,10,-0.399018573931828,5
363740,-0.44715319770579,0,0,-11.8332936462266,0.066322401,10,-0.399020533220238,5
363750,-0.455388919233928,0,0,-11.8344020150897,0.066188805,10,-0.399012740551326,5
363760,-0.444300333100661,0,0,-11.83551043416,0.06634149,10,-0.399030814706332,5
363770,-0.439552479313959,0,0,-11.8366188494571,0.066207893,10,-0.39902945651577,5
363780,-0.48062387205654,0,0,-11.8377272556825,0.066265151,10,-0.399026190774813,5
363790,-0.453213317651948,0,0,-11.8388356743492,0.066150635,10,-0.399030669678717,5
363800,-0.471509823127141,0,0,-11.8399440626842,0.066169724,10,-0.399019750340769,5
363810,-0.450183403455531,0,0,-11.8410524715202,0.066150635,10,-0.399027130444275,5
363820,-0.478661580092216,0,0,-11.8421608972148,0.066074297,10,-0.399033199427,5
363830,-0.455115350147995,0,0,-11.8432693244826,0.066112466,10,-0.399033765881441,5
363840,-0.483744075713449,0,0,-11.8443777126837,0.065997958,10,-0.399019701866703,5
363850,-0.496132682766628,0,0,-11.8454861307212,0.066150635,10,-0.399030443067854,5
363860,-0.490102961090564,0,0,-11.8465945562628,0.066093378,10,-0.399033144447684,5
363870,-0.466334291306222,0,0,-11.8477029352488,0.065959781,10,-0.399016384137988,5
363880,-0.457601931710651,0,0,-11.8488113570675,0.0659407,10,-0.399031804050297,5
363890,-0.512252420446552,0,0,-11.849919789085,0.0659407,10,-0.399035475660674,5
363900,-0.481711273879825,0,0,-11.8510282307006,0.065864362,10,-0.399038930819798,5
363910,-0.476101388988096,0,0,-11.8521366810226,0.065768935,10,-0.399042065243398,5
363920,-0.51203581167288,0,0,-11.8532451346466,0.065845273,10,-0.399043254199115,5
363930,-0.460704964411358,0,0,-11.8543535727891,0.065692589,10,-0.399037680657869,5
363940,-0.494424548574926,0,0,-11.8554619599925,0.065768935,10,-0.399019342860831,5
363950,-0.49141648553278,0,0,-11.8565703472777,0.065692589,10,-0.399019372265586,5
363960,-0.50102175577578,0,0,-11.8576787151762,0.065673508,10,-0.399012392861394,5
363970,-0.497598965804899,0,0,-11.8587871008096,0.065673508,10,-0.399018777509672,5
363980,-0.49711575453521,0,0,-11.8598954734537,0.065578081,10,-0.399014101417541,5
363990,-0.503351543030602,0,0,-11.861003861181,0.065520823,10,-0.399019531426652,5
364000,-0.497852617195434,0,0,-11.8621122550824,0.065558992,10,-0.399021754174703,5
364010,-0.530380822413982,0,0,-11.8632206599815,0.065501742,10,-0.399025713262409,5
364020,-0.500482151955563,0,0,-11.8643290803843,0.065387227,10,-0.399031294647625,5
364030,-0.528397845508675,0,0,-11.8654374850262,0.065482654,10,-0.399025620534882,5
364040,-0.535520355072034,0,0,-11.8665458933462,0.065425396,10,-0.399026944583313,5
364050,-0.542768738946135,0,0,-11.8676542481099,0.065425396,10,-0.399007664732628,5
364060,-0.494642569080475,0,0,-11.8687625991008,0.065444484,10,-0.399006306167152,5
364070,-0.516777266631399,0,0,-11.869870982577,0.065349057,10,-0.399018000954255,5
364080,-0.543263290105576,0,0,-11.8709793366552,0.065272719,10,-0.399007417655917,5
364090,-0.526950666885481,0,0,-11.8720876949484,0.065310888,10,-0.399008935291859,5
364100,-0.565254911699734,0,0,-11.8731961089231,0.0652918,10,-0.399028980184729,5
364110,-0.524554282713845,0,0,-11.8743045094488,0.065368146,10,-0.399024138539531,5
364120,-0.556632191498318,0,0,-11.8754128719478,0.065215461,10,-0.399010449099992,5
364130,-0.541044001559964,0,0,-11.8765212728441,0.065177292,10,-0.399024272221403,5
364140,-0.529972540348164,0,0,-11.8776296502349,0.065196373,10,-0.399015810020775,5
364150,-0.526554154366943,0,0,-11.8787380505728,0.065100946,10,-0.399024071166027,5
364160,-0.564049093192797,0,0,-11.8798465249878,0.065139122,10,-0.399050738896239,5
364170,-0.541586152635524,0,0,-11.8809549638159,0.065062776,10,-0.399037927499142,5
364180,-0.561940180597102,0,0,-11.882063387947,0.065005526,10,-0.399032636480887,5
364190,-0.554293580919263,0,0,-11.8831717996021,0.064967349,10,-0.399028144982524,5
364200,-0.576221643889126,0,0,-11.8842801649225,0.064910099,10,-0.399011464833909,5
364210,-0.570390746234064,0,0,-11.8853885513308,0.065005526,10,-0.399019056397973,5
364220,-0.525100055188568,0,0,-11.886496937975,0.064795583,10,-0.399019141621277,5
364230,-0.576813589203179,0,0,-11.8876053412769,0.064852841,10,-0.399025138043106,5
364240,-0.566272616934041,0,0,-11.8887137466923,0.064814672,10,-0.399025899225995,5
364250,-0.550718600114061,0,0,-11.8898221556726,0.064891011,10,-0.399027182622173,5
364260,-0.559084937530658,0,0,-11.890930550823,0.064795583,10,-0.399022203486366,5
364270,-0.600157742005116,0,0,-11.8920389455838,0.064700156,10,-0.39902206347925,5
364280,-0.597209585498279,0,0,-11.8931473730663,0.064661987,10,-0.399033843293557,5
364290,-0.629439055975693,0,0,-11.894255749357,0.064719245,10,-0.399015414117249,5
364300,-0.592476432136994,0,0,-11.8953641429481,0.064642906,10,-0.399021642188918,5
364310,-0.591008645297375,0,0,-11.8964725225557,0.064528391,10,-0.399016608218634,5
364320,-0.596821297852416,0,0,-11.8975809171081,0.064528391,10,-0.399021988453107,5
364330,-0.592342256229018,0,0,-11.8986892830332,0.064547479,10,-0.399011682791372,5
364340,-0.552437414364312,0,0,-11.8997976416267,0.064528391,10,-0.399009043396787,5
364350,-0.617350073668526,0,0,-11.9009060077428,0.064642906,10,-0.399011751264581,5
364360,-0.61799907136431,0,0,-11.9020143655241,0.064394794,10,-0.399008750741603,5
364370,-0.632376118111365,0,0,-11.9031226945973,0.064432964,10,-0.398998415641735,5
364380,-0.586919625294862,0,0,-11.9042310599311,0.06424211,10,-0.399011469910436,5
364390,-0.608219851202187,0,0,-11.9053394132527,0.064280286,10,-0.399007145241275,5
364400,-0.635857540989883,0,0,-11.9064477970827,0.064356625,10,-0.399018128381217,5
364410,-0.595049727795712,0,0,-11.9075561965477,0.064261198,10,-0.399023756774225,5
364420,-0.595423928812627,0,0,-11.908664586435,0.064413883,10,-0.39902030912767,5
364430,-0.610886888926531,0,0,-11.9097729803513,0.064165771,10,-0.399021759237521,5
364440,-0.606658168847827,0,0,-11.9108813861147,0.064127602,10,-0.399026024168532,5
364450,-0.627386980932964,0,0,-11.9119897609301,0.064261198,10,-0.399014883234855,5
364460,-0.626277635885936,0,0,-11.9130981406505,0.064108513,10,-0.39901664887436,5
364470,-0.631518675134938,0,0,-11.9142064939791,0.064127602,10,-0.399007147655859,5
364480,-0.646106514934127,0,0,-11.9153148520428,0.063994005,10,-0.399008852391944,5
364490,-0.639424833994319,0,0,-11.9164232306572,0.064070344,10,-0.39901625059857,5
364500,-0.631576049759814,0,0,-11.9175315887634,0.063917667,10,-0.399008867732389,5
364510,-0.602616718071609,0,0,-11.9186399558526,0.063994005,10,-0.399012101383402,5
364520,-0.647099207962349,0,0,-11.9197483613218,0.063898578,10,-0.399025918491302,5
364530,-0.624880635124028,0,0,-11.9208567689662,0.06387949,10,-0.399026701481039,5
364540,-0.632549162680697,0,0,-11.9219652110229,0.063936748,10,-0.399039089889073,5
364550,-0.645742011901412,0,0,-11.9230736723359,0.06382224,10,-0.399046022048246,5
364560,-0.635420962906874,0,0,-11.9241820901866,0.063745894,10,-0.399030375682429,5
364570,-0.643758712752959,0,0,-11.9252905136487,0.063803151,10,-0.399032396010754,5
364580,-0.664137798955356,0,0,-11.9263989840889,0.06382224,10,-0.39904930806968,5
364590,-0.627836233913043,0,0,-11.927507438742,0.063764982,10,-0.399043624678283,5
364600,-0.666827224905882,0,0,-11.9286158566056,0.063707724,10,-0.399030380669549,5
364610,-0.682167517795591,0,0,-11.9297242802347,0.063650474,10,-0.399032455884206,5
364620,-0.648459534385275,0,0,-11.9308326584745,0.063631386,10,-0.399016115723413,5
364630,-0.658328583660538,0,0,-11.9319410735975,0.063516878,10,-0.399029393861165,5
364640,-0.676658755872018,0,0,-11.9330494891104,0.063555047,10,-0.399029534118621,5
364650,-0.676256550391236,0,0,-11.934157893271,0.063535959,10,-0.3990254473858,5
364660,-0.649503372004221,0,0,-11.9352663295806,0.063383274,10,-0.399037021022309,5
364670,-0.65333910889408,0,0,-11.9363747070726,0.063516878,10,-0.399015846780741,5
364680,-0.655622661929926,0,0,-11.9374830584844,0.063478701,10,-0.39900645784724,5
364690,-0.695028272437118,0,0,-11.9385914606433,0.063364193,10,-0.399024726784235,5
364700,-0.699547793937603,0,0,-11.9396998856757,0.063402362,10,-0.39903296108952,5
364710,-0.712058761316744,0,0,-11.9408083160027,0.063364193,10,-0.399034867069332,5
364720,-0.69350191406951,0,0,-11.9419167707156,0.063421451,10,-0.399043646269466,5
364730,-0.702042891926258,0,0,-11.9430252293904,0.063154258,10,-0.399045072238248,5
364740,-0.692567040668604,0,0,-11.9441336974105,0.063211508,10,-0.39904843698906,5
364750,-0.697660385142415,0,0,-11.9452421700931,0.063211508,10,-0.399050115220156,5
364760,-0.678540870672668,0,0,-11.9463506199905,0.063268766,10,-0.399041912499963,5
364770,-0.724016682733011,0,0,-11.947459054628,0.062963404,10,-0.39903641907748,5
364780,-0.682207107667798,0,0,-11.9485674751725,0.063039742,10,-0.399031345610184,5
364790,-0.709825171313419,0,0,-11.9496759121508,0.063039742,10,-0.399037261571717,5
364800,-0.687073562277092,0,0,-11.9507843250436,0.063077912,10,-0.399028590719101,5
364810,-0.699409520938201,0,0,-11.9518927434843,0.063020661,10,-0.399030588334483,5
364820,-0.690357956489278,0,0,-11.9530011386384,0.063020661,10,-0.399022204862637,5
364830,-0.687300053173905,0,0,-11.9541095959438,0.062848888,10,-0.399044579576133,5
364840,-0.706194058821188,0,0,-11.9552180273695,0.062925234,10,-0.399035262974646,5
364850,-0.732635213773531,0,0,-11.9563264657483,0.062848888,10,-0.399037765971772,5
364860,-0.731611830921892,0,0,-11.9574348839804,0.062810719,10,-0.399030512919718,5
364870,-0.756480270528356,0,0,-11.9585432644964,0.062887058,10,-0.399016935264501,5
364880,-0.706632386224131,0,0,-11.9596516224149,0.062906146,10,-0.399008800311798,5
364890,-0.751988784181562,0,0,-11.960760023609,0.062810719,10,-0.399024379277289,5
364900,-0.727661314092456,0,0,-11.9618683933366,0.06277255,10,-0.399013051375791,5
364910,-0.728604535125332,0,0,-11.962976774588,0.062696211,10,-0.399017200027099,5
364920,-0.748805359488416,0,0,-11.9640850996612,0.062658042,10,-0.398996975620564,5
364930,-0.727619084895435,0,0,-11.9651934256676,0.06273438,10,-0.398997311688188,5
364940,-0.734277410879623,0,0,-11.9663017595517,0.062696211,10,-0.399000148155368,5
364950,-0.724525918972957,0,0,-11.9674100958949,0.062505357,10,-0.399001033120888,5
364960,-0.736760094834706,0,0,-11.9685184728755,0.062600784,10,-0.399015662388437,5
